Latitude,Longitude,10 Mi Quakes,25 Mi Quakes,50 Mi Quakes,Max Mag 10 Mi,Max Mag 25 Mi,Max Mag 50 Mi,Time D 10Mi,Time D 25Mi,Time D 50Mi,T 10Mi,T 25Mi,T 50Mi
33.5851667,-118.29299999999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.6592,-116.2727,0,0,2,0.0,0.0,3.76,-1.0,-1.0,1076952.0,0.0,0.0,0.0
38.0696678,-118.69466399999999,0,1,24,0.0,2.5,4.4,-1.0,743379.0,2122243.0,2.7,2.7,3.2
39.246,-123.09733329999999,0,1,5,0.0,2.8,2.97,-1.0,1813733.0,820892.0,2.64,2.64,2.64
40.8639,-125.4096,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.655,-116.2676,0,0,3,0.0,0.0,2.77,-1.0,-1.0,2397211.0,0.0,0.0,3.09
33.9405,-118.33333329999999,2,2,3,3.03,3.03,3.05,1704.0,1704.0,1342478.0,4.0,4.0,4.0
35.8336667,-120.55616670000002,0,1,3,0.0,2.62,3.52,-1.0,354482.0,2412274.0,0.0,0.0,0.0
38.1942,-117.8875,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
40.364000000000004,-125.31683329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
37.6001667,-122.00433329999998,1,3,4,2.68,3.22,3.22,656105.0,808083.0,808083.0,2.56,2.56,3.76
33.1581667,-115.63316670000002,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.5651,-118.2344,0,2,24,0.0,3.1,3.8,-1.0,398137.0,926934.0,3.0,3.0,3.7
36.5658333,-121.1495,0,0,6,0.0,0.0,2.99,-1.0,-1.0,890524.0,0.0,0.0,2.83
32.7483333,-115.82333329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.8256667,-122.8135,4,7,12,3.13,3.26,3.98,1054675.0,114608.0,1578136.0,3.98,3.98,3.98
36.7646667,-120.70100000000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.9421667,-118.33483329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.1648,-117.9025,0,0,2,0.0,0.0,2.66,-1.0,-1.0,256622.0,0.0,0.0,0.0
36.2805,-120.86433329999998,0,1,4,0.0,2.5,3.31,-1.0,2132450.0,1452985.0,2.53,2.63,3.38
39.4016667,-120.17200000000001,0,1,1,0.0,2.69,2.69,-1.0,686461.0,686461.0,2.63,2.63,2.63
35.721166700000005,-117.5358333,3,7,11,3.1,3.26,3.26,2283473.0,1728128.0,1728128.0,2.8,3.64,3.64
37.569,-118.824,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.1694,-117.8986,0,0,8,0.0,0.0,3.6,-1.0,-1.0,1209023.0,0.0,0.0,2.69
36.2183333,-117.92666670000001,0,0,1,0.0,0.0,2.64,-1.0,-1.0,428133.0,0.0,0.0,0.0
38.1806,-117.8575,0,3,8,0.0,3.22,3.37,-1.0,588221.0,1121644.0,0.0,0.0,2.93
36.196999999999996,-120.31083329999998,0,2,4,0.0,2.81,3.31,-1.0,681087.0,2400032.0,2.65,2.65,2.65
40.3685,-125.18133329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.62
37.895166700000004,-118.55333329999999,3,4,26,3.08,3.24,3.7,189196.0,2050907.0,2183949.0,2.79,2.79,4.4
36.8303333,-121.566,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
41.104,-117.3961,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.9661667,-116.978,0,2,3,0.0,2.65,3.05,-1.0,1217394.0,1290321.0,3.29,3.29,3.29
39.5165,-122.01700000000001,0,0,1,0.0,0.0,3.1,-1.0,-1.0,2156171.0,0.0,0.0,0.0
40.2946667,-124.5795,6,8,13,4.36,4.36,4.69,582326.0,582326.0,814538.0,2.9,3.54,3.54
33.171,-115.649,8,9,13,3.95,3.95,3.95,2342222.0,2342222.0,2342222.0,3.82,3.82,3.82
37.4748333,-118.84266670000001,0,3,7,0.0,3.49,3.69,-1.0,1371358.0,2587493.0,0.0,2.51,2.51
37.9686667,-122.027,2,2,4,3.63,3.63,3.63,624601.0,624601.0,624601.0,3.01,3.01,3.01
33.8243333,-116.99466670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,3.5
40.3343333,-124.35766670000001,0,0,5,0.0,0.0,2.88,-1.0,-1.0,818336.0,0.0,0.0,2.83
38.8276667,-122.77816670000001,3,5,12,2.88,2.88,3.98,2482730.0,2482730.0,523461.0,3.13,3.26,3.26
32.921833299999996,-116.2615,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
36.5748333,-121.17316670000001,0,0,20,0.0,0.0,3.9,-1.0,-1.0,2424088.0,0.0,0.0,3.2
36.006666700000004,-120.5775,0,0,1,0.0,0.0,2.67,-1.0,-1.0,1410318.0,2.62,2.74,2.74
36.557333299999996,-117.99916670000002,0,0,2,0.0,0.0,2.61,-1.0,-1.0,1679942.0,2.76,2.76,2.76
37.9118333,-118.54883329999998,8,8,17,3.9,3.9,3.9,31272.0,31272.0,479067.0,3.3,3.3,3.5
39.0946,-117.6759,0,0,1,0.0,0.0,2.6,-1.0,-1.0,1900377.0,3.1,3.1,3.1
39.2266,-114.9148,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.5
36.8673333,-121.6105,1,1,15,2.82,2.82,4.32,329696.0,329696.0,1257544.0,4.2,4.2,4.2
37.2631667,-118.32016670000002,0,1,18,0.0,2.77,3.9,-1.0,560546.0,2555203.0,3.69,3.69,3.69
37.367,-121.75133329999998,1,1,3,2.5,2.5,3.22,500820.0,500820.0,455800.0,2.6,2.93,3.28
33.180833299999996,-115.60183329999998,3,3,3,3.95,3.95,3.95,687.0,687.0,687.0,3.41,3.41,3.41
41.1561667,-125.3175,0,1,3,0.0,2.9,2.99,-1.0,1050312.0,1088955.0,3.6,3.6,3.6
40.364000000000004,-125.31683329999998,0,0,11,0.0,0.0,3.73,-1.0,-1.0,2385227.0,0.0,0.0,3.28
36.4965,-121.07600000000001,1,2,4,2.98,2.98,3.76,1190864.0,1190864.0,382604.0,2.52,2.52,3.73
35.977166700000005,-117.3241667,1,6,11,3.27,3.27,4.02,1769285.0,1769285.0,1872523.0,3.6,3.6,4.03
37.9133333,-118.541,1,1,10,2.86,2.86,3.9,16.0,16.0,440051.0,3.9,3.9,3.9
38.1483,-117.9666,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
39.7496667,-120.339,0,0,3,0.0,0.0,3.01,-1.0,-1.0,2387943.0,0.0,0.0,0.0
38.805,-122.7785,9,22,28,3.7,3.8,3.8,2264417.0,2198220.0,2198220.0,2.8,3.1,3.1
37.9088333,-118.55016670000002,12,12,21,3.9,3.9,3.9,33429.0,33429.0,481224.0,2.68,2.68,3.5
35.0608333,-116.61983329999998,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,2.5
35.9123333,-117.70233329999999,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
38.4801667,-122.53299999999999,0,0,1,0.0,0.0,3.7,-1.0,-1.0,1871174.0,0.0,0.0,0.0
39.2266,-114.9148,0,1,1,0.0,2.63,2.63,-1.0,1990790.0,1990790.0,0.0,0.0,0.0
38.7711667,-122.7203333,0,1,7,0.0,2.91,3.64,-1.0,737639.0,762833.0,0.0,3.01,3.14
36.655,-116.2676,2,4,11,3.28,3.28,3.37,1461887.0,1461887.0,2566325.0,2.97,2.97,3.61
38.1837,-117.9004,18,19,23,4.4,4.4,4.4,102021.0,102021.0,102021.0,4.3,4.3,4.3
36.5605,-118.00216670000002,0,1,1,0.0,2.72,2.72,-1.0,2509839.0,2509839.0,0.0,2.62,2.62
40.3343333,-124.35766670000001,0,0,0,0.0,0.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0
33.1935,-115.59283329999998,2,2,2,3.95,3.95,3.95,31.0,31.0,31.0,3.45,3.45,3.45
